Project Number,Project Name,Phase,Recipient,Type of Organization (Account) (Account),Geographic Distribution,Location of project,Program Pillar,Agreement Start Date,Agreement End Date,Description Short,List of Partners or Collaborators,Species Group
BCSRIF_2020_304,Kitwanga River Sockeye Salmon Enhancement Project,1,Gitanyow Fisheries Authority,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,Terrace,Infrastructure,10/30/2021,3/31/2024,Funding for this project will support the exploration of enhancement options for Kitwanga sockeye salmon in order to rebuild the genetically unique stock and prevent any further decline and loss of important genetic diversity. Key activities include: research and infrastructure preparation for a potential future enhancement facility; site survey and design; biological strategy; water volume/water quality and wells; and discharge treatment.,"Pacific Salmon Foundation, DFO Ecosystem Management Branch
",Pacific Salmon
BCSRIF_2020_305,Fish and Fish Habitat Survey for Finfish Aquaculture,1,We Wai Kai First Nation (Cape Mudge),"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,Hoskyn Channel BC (Lands Files 1401659 & 1401611),Infrastructure,7/1/2021,3/31/2022,This project will investigate the possible environmental impacts and identify potential business opportunities in converting finfish aquaculture tenures into Sablefish aquaculture farm operations in a potential joint venture partnership with Golden Eagle Sablefish. Baseline fish habitat surveys will be undertaken to identify possible critical habitats and facilitate the development of depositional modelling (DEPOMOD) for sablefish aquaculture.,,Pacific Groundfish
BCSRIF_2020_311,The application of nanopore technology for the rapid detection and characterization of pathogenic organisms in enhancement hatcheries,1,BC Centre for Aquatic Health Sciences Society,Research and Innovation Institution/Academic,South Coast,Campbell River,Science partnerships,4/1/2021,3/31/2024,The recipient aims to validate Nanopore technology as a rapid and broad-range tool for detecting salmon pathogens from biological and environmental samples from hatcheries. The technology will be applied to screen broodstock examine pathogen sources and their distribution in hatchery systems and identify/characterize the agent(s) associated with disease occurrences.,,Pacific Salmon
BCSRIF_2020_313,Monitoring lipid content of Fraser-bound Chinook at Albion,1,"University of British Columbia (Vancouver), Institute for the Oceans and Fisheries",Post-Secondary Institution,Fraser and Interior,Vancouver,Science partnerships,4/1/2021,2/15/2023,University of BC researchers will undertake measurements of Albion Test fishery chinook salmon lipid (fat) content to better understand how this impacts the ability of these salmon to successfully reach their spawning grounds and improve our understanding of how ocean conditions impact chinook salmon health.,,Pacific Salmon
BCSRIF_2020_314,Deadman River Hatchery Upgrades,1,Skeetchestn Indian Band,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,Savona,Infrastructure,7/1/2021,3/31/2024,The recipient will carry out critical infrastructure upgrades to modernize operations and allow the hatchery to raise all life stages of coho salmon on-site. Water production will be upgraded by installing a production well backup generator pump controls and aeration tower.,,Pacific Salmon
BCSRIF_2020_316,Rebuilding Wet'suwet'en Sockeye Salmon Abundance and Diversity,1,Office of the Wet’suwet’en,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,Smithers,Science partnerships,5/1/2021,3/31/2024,The goal of this project is to initiate a recovery research program which will contribute to restoring the abundance and diversity of the Morice Sockeye population. Information gathered through the project will address current questions related to sockeye survival sources of mortality at various life stages from juveniles to adults spawning habitat condition and direction for restoration/protection of critical habitat.,"Morice Water Monitoring Trust, DFO Stock Assessment Division
",Pacific Salmon
BCSRIF_2020_318,Kus Kus Sum – Restoration of key habitat to re-establish ecosystem services that will support BC fisheries.,1,K’ómoks First Nation (KFN),"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,Courtenay,Infrastructure,4/1/2021,3/31/2024,K'omoks First Nation and partners will return an abandoned industrial site in the heart of their traditional territory back into functioning habitat. The former industrial sawmill is situated in the heart of the salmon migration corridor for the watersheds of two major Rivers: the Puntledge and the Tsolum. The restoration of this site will improve access to Food Social and Ceremonial uses of salmon provide increased recreational fishing opportunities and support the recovery of Southern Resident Orca populations.,,Pacific Salmon
BCSRIF_2022_319,Fishing BC App: Tidal Waters Licence Integration and Recreational Catch Monitoring and Data Collection Enhancements Project,2,Sport Fishing Institute of BC,Industry Association,BC Wide and Coastal Waters,Coastwide,Innovation,5/4/2023,3/31/2025,"The Sport Fishing Institute will build on ongoing work to improve the Fishing BC app.  Recent improvements funded through BCSRIF included addition of recreational fisheries regulations, catch and possession limits, safety notes, and species identification, and the next phase will enhance the information display and access, as well as tools for improved catch and compliance monitoring, including the option for recreational anglers to submit catch data directly into the DFO National Recreational License System (NRLS).","DFO Rec Fisheries, Fisheries Management, IMIT, CDOS, & others
Simon Fraser University
University of British Columbia - Dept Forest and Conservation Sciences",Pacific Salmon
BCSRIF_2022_321,Squamish Estuary Chinook Salmon Habitat Restoration Project,2,Squamish River Watershed Society,Stewardship Group (local/community-based),South Coast,Squamish,Infrastructure,5/4/2023,3/31/2026,"In partnership with DFO and Squamish Nation, SRWS has developed and will implement a restoration plan to restore connectivity and access for juvenile out-migrating Chinook between the Squamish River and the central nutrient rich estuary.  The project includes the modification of a training berm/spit to allow for an 850m opening.  The training berm/spit has been a barrier for the past 50 years preventing fish access and freshwater exchange from the river to the estuary.  In January 2022, a 300m opening was created and this project will add an additional 550m to the opening.  Outcomes include improvements to; water quality, flood mitigation, and coastal resilience as well as improvements to sediment deposition in the estuary, marsh accretion, increase in carbon storage and sequestration and support to species at risk within the area. ","DFO
Squamish Nation",Pacific Salmon
BCSRIF_2022_322,San Juan and Gordon Rivers – Salmon Estuarine Habitat Restoration,2,Pacheedaht First Nation,"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,Port Renfrew,Infrastructure,6/1/2023,3/31/2026,"Pacheedaht First Nation is intending to implement 3 restoration projects in the San Juan and Gordon River estuaries with support from the San Juan Roundtable and its technical sub-committee which includes DFO.  Habitat issues in these watersheds are linked to excess sediment delivery resulting from forest harvesting activities and associated road-building.  This has resulted in the infilling of holding pools and estuarine tidal channels and in some cases cutting off upstream connections to freshwater.  This issue was particularly devasting in the fall of 2022 when stage 5 drought occurred during the month of October indicating an urgent need to restore this habitat.  The project aims to address the issues of channel connectivity, availability of low salt marsh habitats and loss of holding pools by:  improving salmon access to existing spawning and nursery habitats, rehabilitating damaged estuarine nursery habitats and restoring cool water holding pools for migrating salmon. ","DFO SEP, Resource Restoration Unit
DFO Stock Assessment
BC Environmental and Climate Monitoring – Hydrology and Hydrometrics
BC MFLNRORD
Ministry of Transport and Infrastructure
",Pacific Salmon
BCSRIF_2022_326,Aeromonas salmonicida Genome Sequencing and qPCR Test Development,2,"Kwantlen Polytechnic University, Applied Genomics Centre",Post-Secondary Institution,Fraser and Interior,Surrey,Innovation,6/4/2023,12/31/2024,"KPU Applied Genomics Center will work with Abbotsford Animal Health Center to perform whole genome sequencing for several Aeromonas species, including Aeromonas salmonicida (A. salmonicida) which is a pathogenic bacterium that severely impacts salmonid populations, and other fish species.  A. salmonicida is a non-motile, gram-negative bacterial pathogen that causes disease and mortality in wild and cultured fish from freshwater, brackish, and salt water.  This pathogen is transmitted by direct contact and all life stages are susceptible.   In order to effectively monitor A. salmonicida and support fish health, it is crucial to be able to accurately identify A. Salmonicida.  However, current methods cannot distinguish between A. salmonicida and other closely related species and there is currently no molecular test specific to A. salmonicida available in Canada.  A key deliverable of this project will be high quality genome sequences for Aeromonas salmonicida, Aeromonas bestiarum, and ~5 additional closely related Aeromonas species.  The sequences will be made publicly available to DFO and others.  ",BC Ministry of Agriculture Animal Health Centre,Pacific Salmon
BCSRIF_2022_327,South Coast European Green Crab Control Project - Phase 2 (SC EGC CP-P2),2,Coastal Restoration Society,Not-for-profit organization (ENGO),South Coast,Pacific region,Infrastructure,6/15/2023,12/31/2024,"This project aims to build upon the success and results of South Coast European Green Crab (EGC) Control Project through continued large-scale removel in targeted locations to mitigate the damage EGC pose to wild salmon and wild salmon habitat. Coastal Restoration society will also continue to work with coastal indigenous government partners to implement an early detection program to enhance understanding of EGC density and dispersal and support future management effots. This project compliments ongoing collaborative work that focuses on long-term monitoring and restoration initiatives, capacity building within host First Nations, and meaningful employment pathways that support Canada's Blue Economy sector. ","First nations Partners
•	T’Sou-Ke First Nation
•	Ahousaht First Nation** 
•	Tla-o-qui-aht First Nation
•	Tseshaht First Nation** 
•	Ucluelet First Nation** 
•	Toquaht First Nation** 

DFO Aquatic Invasive Species National Core Program
DFO’s BCSRIF, GGF and OMCP funds, and the Province of BC’s CCCW fund

Non-Governmental Partners: 
•	Aeria Solutions Ltd
•	SeaChange Marine Conservation Society
•	Pacific Salmon Foundation
•	The Hakai Institute
•	Memorial University of Newfoundland
•	Ecofish Research Ltd
•	Ryan Sea Marine Ltd
•	Canadian Maritime Ltd
",Aquatic invasive species
BCSRIF_2022_328,Salmon Recovery – advancing planning and action,2,Pacific Salmon Foundation,Not-for-profit organization (ENGO),BC Wide and Coastal Waters,All of BC - particular on the Fraser,Innovation,10/1/2023,3/31/2026,"This project will undertake activities to explore the current situation and context for Pacific salmon, present challenges and potential solutions. The Pacific Salmon Foundation (PSF) will undertake 4 activities including a rapid assessment to identify top priorities  for salmon at conservation unit or stock management unit scales, development of a Conservation Strategy for the Heart of the Fraser area, development of a Salmon Recovery Plan in the upper Fraser area and an application of an existing successful method to provide salmon seasonal access to floodplain habitat in the Lower Fraser R. ","The Upper Fraser Fisheries Conservation Alliance
First Nations Fisheries Council
Sumas First Nation",Pacific Salmon
BCSRIF_2022_329,Meziadin River Up-looking Hydroacoustic Sockeye Smolt Enumeration Project,2,Gitanyow Fisheries Authority,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,Stewart,Innovation,5/8/2023,3/31/2026,"The Gitanyow Huwlip Society will estimate Meziadin Lake sockeye smolt production for a period of 3 years. Gitanyow Fisheries Authority, partnered with Skeena Fisheries Commission, will  use an upward-looking hydroacoustic technique and implement a biological sampling program. Following a successful pilot of the hydroacoustic technology in the first season, this project will build two IPT (inclined plane traps) for the collection of bio samples over the study period. Information collected through the study, such as out migrating smolt abundance, size, age composition and origin, will be used to better understand Meziadin Lake sockeye productivity. This information will help inform future studies, restoration priorities, and management approaches for Meziadin Lake sockeye. ",DFO StAD,Pacific Salmon
BCSRIF_2022_331,Bute Inlet Salmon Viability Strategy,2,Xwemalhkwu (Homalco) First Nation,"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,"Bute Inlet
Homalco Band Office is located in Campbell River BC",Science partnerships,5/5/2023,3/31/2026,"In response to the massive habitat destruction triggered by glacial melting in the Elliot Creek Watershed and severe storm destruction of the Orford Bay hatchery in 2020, Homalco First Nation will lead a project to reconstruct the Homalco-Taggares Hatchery in Orford Bay as a Multi-Species Hatchery and Stewardship Center. The project will undertake stock assessment and genetic analysis, and hatchery production activities to bolster the Southgate River chinook population, and collect oceanographic & climate related data in order to understand the effects of changing river  & ocean conditions on salmon stock survival. Further funding has been added to this proposal request to cover the activities of a Geohazard assessment for land stability before any construction activites occur. 
","Bute Inlet Roundtable Members 
Gillard Pass Fisheries Association 
Hakai Institute Ecosystem Research
Homalco First Nation 
DFO Stock Assessment & Community Advisor                                                                                                                    
Bute Inlet Roundtable                                                                                                                                                           
",Pacific Salmon
BCSRIF_2022_332,Research in support of Sarita Chinook as an Ecological Indicator and WCVI Chinook Salmon Rebuilding,2,Huu-ay-aht First Nations,"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,"Sarita River watershed near Bamfield and Anacla, Barkley Sound, Westcoast Vancouver Island",Science partnerships,5/4/2023,3/31/2026,"Huu-ay-aht First Nations will undertake work over a 3-year study period, to consider the applicability for the Sarita Chinook population as an ecological indicator for the COSEWIC listed West Vancouver Island, Ocean, Fall (South) population and the Westcoast Vancouver Island (WCVI) Management Unit. The proposed project will enumerate migration of Chinook smolts, monitor and evaluate salmon distribution, habitat use and spawning areas in the Sarita estuary and river system, consider predation impacts and study the nearshore marine habitat use and biological characteristics of Chinook Salmon in Numukamis Bay (which the Sarita River empties into) and Barkley Sound. ","Nitinat hatchery
DFO Southcoast - StAD (?)
WCVI Indigenous Nations
LGL Limited",Pacific Salmon
BCSRIF_2022_334,"First Nations led salmon habitat and population monitoring, research and cumulative effects assessment in the Lower Fraser River and Boundary Bay",2,Salish Sea Indigenous Guardians Association,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,"Surrey, White Rock, Langley and surrounding areas",Innovation,5/4/2023,3/31/2026,The Salish Sea Indigenous Guardians Association will build an Indigenous led salmon population and habitat monitoring program which will include the monitoring of both juvenile and adult salmon and their habitats in priority areas in the Lower Fraser River and Boundary Bay. This work will lead to the creation and implementation of an Indigenous lead cumulative effects assessment framework and the creation of a long-term restoration action plan which will utilize Indigenous knowledge from within the communities to set long term priorities and short-term actions. The project will also incorporate watershed scale assessments and specific research projects to understand the impacts of both floods and flood infrastructure on wild salmon populations and incorporate considerations for flood mitigation into salmon recovery plans.  ,"Fisheries and Oceans Canada’s Community Stream Monitoring network;
DFO Community Advisors;
Rivershed Society of BC;
A Rocha;
Semiahmoo Fish and Game Club;
Langley Environmental Partners Society;
Streamkeepers groups",Pacific Salmon
BCSRIF_2022_337,Chinook Salmon Assessments and WCVI Chinook Salmon Rebuilding in the Kaouk and Artlish Watersheds,2,Ka:’yu:’k’t’h’/Che:k’tles7et’h’ First Nation,"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,"Kaouk River and Artlish River watersheds located in Kyuquot Sound, Westcoast Vancouver Island",Science partnerships,5/4/2023,3/31/2026,"Ka:’yu:’k’t’h’/Che:k:tles7et’h’ First Nations (KCFN) will undertake work over a 3-year study period in the Kaouk and Artlish Rivers to fill in information gaps regarding the life history of two of three Chinook indicators for the West Vancouver Island, Ocean, Fall (North) population Conservation Unit. The project will build on stock assessment data collected over the past 10 years in the Kaouk and Artlish watersheds and will cover the life history from egg deposition by spawning Chinook to nearshore marine, in support of the WCVI Chinook rebuilding initiative. ","DFO Southcoast StAD
WCVI Indigenous Nations
LGL Limited",Pacific Salmon
BCSRIF_2022_339,NEWSS-Salmon Habitat Recovery Projects,2,NEWSS,Stewardship Group (local/community-based),Fraser and Interior,Nechako Valley (Vanderhoof),Innovation,5/4/2023,3/31/2026,The Nechako Environment and Water Stewardship Society will complete fish habitat restoration projects  in the Nechako watershed to continue to enhance recovery opportunities for Chinook and Coho salmon as well as conduct a complementary eDNA study to assist in determining distribution of salmonids in the Stuart/Nechako watershed to further inform future restoration efforts in the area.,"UNBC
School District #91",Pacific Salmon
BCSRIF_2022_341,ʔaayaaqa (Herring) Herring Spawn Dynamics,2,Nuu-chah-nulth Tribal Council,"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,Port Alberni,Science partnerships,7/14/2023,3/31/2026,"The existing abundance-based management approach for British Columbia Pacific Herring fisheries assumes that population productivity is independent of the structure and diversity of life history traits within and among local populations. However, traditional knowledge and biological research suggest there is substantial diversity within Herring populations in WCVI. This project aims to further develop a Nuu-chah-nulth approach to ecosystem-based fisheries management by integrating life-history-driven differences in population response to climate change and fishing into models of WCVI Pacific Herring spawning populations.  The proposed work addresses leading-edge questions in resource and conservation science on the topics of resilience and biodiversity, and is the first project to address these topics with an aim to developing Indigenous management models and frameworks that could be implemented in real-world fisheries.",Landmark Fisheries Research,Pelagics
BCSRIF_2022_342,British Columbia Kelp-Encrusting Bryozoan (BC KEB),2,"University of Victoria, Department of Geography",Post-Secondary Institution,BC Wide and Coastal Waters,South Coast,Science partnerships,6/1/2023,3/31/2026,"Kelp forests in British Columbia (BC) provide habitat and shelter to many important species, particularly juvenile salmon, as they migrate from coastal rivers to the open ocean. Recently, Nations and researchers have noticed increases in kelp-encrusting bryozoans (KEB), a colonial animal that grows on kelps, reducing reproduction, increasing breakage, and decreasing the health of kelp forests. This project aims to establish a latitudinal network of Sentinel areas along the BC coast where we quantify the spatial-temporal density of KEB and associated environmental conditions. The outcomes of this project will define environmental conditions important for the placement of future kelp restoration sites and key conservation areas with benefits for the long-term survival of Pacific salmon.","Simon Fraser University
BC Ministry of Land, Water and Resources 
Mamalilikulla, Namgis’, Kwikwasut’inuxw Nations
Snuneymuxw First Nation
Heiltsuk Integrated Resource Management Department
CHN – Haida Gwaii
Hakai Institute Research Scientist
Comox Valley Project Watershed
Pacific Salmon Foundation  
UBC Strait of Georgia Data Centre (SGDC)",Kelp
BCSRIF_2022_345,Digital Imaging of Wild Coho Returns to the Lillooet River Conservation Unit,2,Lil’wat First Nation,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,Pemberton,Science partnerships,5/4/2023,3/31/2026,"The primary goal of this project is to generate an escapement estimate of wild Coho to the Lillooet CU for each return year of 2023, 2024, 2025.  Key activities include; operating an ARIS from mid-Sept to mid-Nov and review data files and generating an escapement estimate.  This project will provide an estimate for escapement which will enable a data-driven approach to Coho fisheries improving the likelihood of sustainably managed salmon.  ","LGL Limited
JohnsonFishSci",Pacific Salmon
BCSRIF_2022_346,Genetic monitoring of Kokanee-sockeye salmon (Oncorhynchus nerka) hybrid fitness and long term outcomes associated with an experimental re-introduction program,2,"University of British Columbia (Okanagan), Department of Biology",Post-Secondary Institution,Columbia and Kootenays,"Skaha Lake, BC",Science partnerships,5/15/2023,9/30/2025,"This project builds on the the experimental sockeye salmon (Oncorhynchus nerka) reintroduction project in Skaha Lake (British Columbia) to investigate hybridization between anadromous sockeye and resident kokanee . This collaboration between Indigenous (Okanagan Nation Alliance), Provincial (BC Ministry of Forests) and Academic (University of British Columbia Okanagan) partners will combine genetic, morphological and microchemistry analyses to investigate behavior and fitness within the Skaha Lake system over a 15-year period.  The results from this work could inform government-to-government efforts to monitor sockeye reintroduction efforts, address critical uncertainties, and inform future management decisions. ","Okanagan Nation Alliance
BC Ministry of Forests
UBC Okanagan",Pacific Salmon
BCSRIF_2022_347,Selective Fishing Using a Salmon Trap in the Campbell River Estuary,2,A-Tlegay Fisheries Society,"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,"Campbell River, Vancouver Island ",Innovation,5/4/2023,3/31/2026,"A-Tlegay Fisheries Society proposed project involves the assessment, design, construction, and operation of an estuarine waters selective fishery salmon trap close to their traditional fishing sites in the Campbell/Quinsam rivers estuary on Vancouver Island. Historically, heart and chevron shaped traps were used extensively by First Nation communities along the estuary to capture adult salmon prior to the development of commercial fisheries. Recent revitalization of fish traps as a terminal fishery in other areas along the coast has been shown to be successfully at catching and selectively harvest hatchery marked salmon species while releasing wild (unmarked) salmon and steelhead of conservation concern. Partnering with We Wai Kai First Nation, Wei Wai Kum First Nation, LGL Limited, and the Wild Fish Conservancy; the initiative will develop First Nations’ capacity for sustainable salmon stewardship through the development of the best selective harvest fishing methods possible in traditional fishing areas while preserving wild stocks of conservation concern.","LGL Limited;
Wild Fish Conservancy ",Pacific Salmon
BCSRIF_2022_348,Chemainus-Koksilah Twinned Watershed Salmon Sustainability Project- Phase 2,2,Halalt First Nation,"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,"Chemainus/Crofton and Duncan, BC",Innovation,5/4/2023,3/31/2026,"Cowichan Tribes, in collaboration with Halalt First Nation, will expand the successful Chemainus-Koksilah Twinned Watershed Salmon Sustainability Project through enhanced stock assessment studies including the addition of a Passive Integrated Transponder (PIT) tagging component, and the continuation of process-based restoration work in high-valued tributaries of the Chemainus and Koksilah watersheds. The continuation and expansion of the current monitoring program would provide data on the abundance, productivity, and diversity of salmon and steelhead in the previously data-deficient Koksilah and Chemainus rivers over a 4 or 5-year life cycle for chum, coho, and COSEWIC-listed summer and fall-run Chinook salmon.
","Halalt First Nation 
Q'ul-lhanumutsun Aquatic Resources Society (QARS) 
DFO – StAD 
Nanaimo River Stewardship Society – support for PIT tag of hatchery raised Chemainus Chinook
Pacific Salmon Foundation 
Evans Redi-Mix ",Pacific Salmon
BCSRIF_2022_349,Clayoquot Pacific Salmon Recovery Initiative,2,Redd Fish Restoration Society,Not-for-profit organization (ENGO),South Coast,Clayoquot Sound,Innovation,5/4/2023,3/31/2026,"Redd Fish Restoration Society, in collaboration with with Ahousaht, Hesquiaht and Tla-o-qui-aht Nations, will build on the successess of the Clayoquot Wild Chinook Salmon Initiative Project to address habitat loss at a watershed scale in priority watersheds in Clayoquot Sound. The project will implement process-based restoration strategies starting with addressing slope stabilization issues resulting from forestry activities in the upper watersheds, and including but not limited to implementing instream habitat restoration in the mainstem and floodplain in each watershed to help create more productive rearing habitat to increase rearing potential to produce larger, healthier smolts capable of thriving in a changing marine environment.","Ahousaht Nation as represented by Maaqtusiis Hahoulthee Stewardship Society
Inter-Fluve
Tla-o-qui-aht First Nation
Hesquiaht First Nation",Pacific Salmon
BCSRIF_2022_351,Estimating aggregate Coho salmon escapement to the Lower Fraser Management Unit,2,Lower Fraser Fisheries Alliance Society,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,Chilliwack (PIT Assessment site and Hatchery) and New Westminster (Coho Assessment Fishery),Infrastructure,4/1/2024,3/31/2026,"The Lower Fraser Fisheries Alliance will continue the successful Chilliwack coho PIT tag escapement project to estimate the total escapement of coho to the Lower Fraser and Chilliwack River through the implementation of an assessment fishery and coho passive integrated transponder (PIT) program. The program will address knowledge gaps for the stock status of the Lower Fraser Coho Management Unit and results will be used to inform fisheries management decisions and support the long term prosperity of BC salmon stocks. 

","DFO Fraser StAD
LGL Consultants
Lil’Wat Nation",Pacific Salmon
BCSRIF_2022_356,Campbell River Estuary Salt Marsh and Eelgrass Restoration,2,Greenways Land Trust,Stewardship Group (local/community-based),South Coast,"Campbell River, BC",Infrastructure,5/4/2023,3/31/2026,"This project will restore approximately two hectares of the Campbell River Estuary towards pre-development conditions, led by Discovery Coast Greenways Land Trust in partnership with the Wei Wai Kum First Nation. Using process-based restoration techniques, the project will re-create salt marsh and eelgrass habitat that has been lost due to historic logging practices in the estuary and improve connectivity to the river by adding new tidal channels. Increasing estuarine habitat for out-migrating juvenile chum and Chinook salmon in the system is expected to increase the amount of time they spend feeding and growing in the estuary, thereby increasing their survivability at sea. ","Wei Wai Kum First Nation 
City of Campbell River 
A-tlegay Fisheries Society ",Pacific Salmon
BCSRIF_2022_357,"TFN Fish Trap – Capacity Building, Communications and Operations 2023-26",2,Tsawwassen First Nation,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,"Steveston, BC",Innovation,5/8/2023,3/31/2026,"This project will build on the successful Fraser River Tsawwassen First Nation pound net project near Steveston, B.C.. This project includes training for TFN members to operate the pound net, required safety equipment and operational improvements for the pound net as well as engagement with the TFN community, local governments and the general public on the sustainable selective fishing opportunity a pound net provides. This also includes a continued robust salmon mortality study, ongoing data collection and reporting activities for the length of this project. ","LGL Limited
Wild Fish Conservancy ",Pacific Salmon
BCSRIF_2022_358,Determining the mechanisms of impacts of a changing climate on zooplankton in the Salish Sea using models and observations,2,"University of British Columbia (Vancouver), Department of Earth, Ocean and Atmospheric Sciences",Post-Secondary Institution,South Coast,Vancouver,Science partnerships,5/15/2023,3/31/2026,"University of British Columbia (UBC), in partnership with Ocean Sciences (DFO) and University of Washington, will use a combined approach to examine the impacts of climate change on the food available to out-migrating juvenile salmon and resident adult species  in the Salish Sea. Using both computer models and observational data, the team will focus on zooplankton responses to stressors such as ocean warming and increased atmospheric CO2. This information will be critical to identifying potential benefits or threats posed to wild Pacific Salmon populations in response to climate change. ","Fisheries and Oceans Canada - Science 
University of Washington, Oceanography 
Institute of Ocean Sciences ",Pacific Salmon
BCSRIF_2022_360,Basin-scale Events to Coastal Impacts (BECI),2,North Pacific Marine Science Organization,Not-for-profit organization (ENGO),BC Wide and Coastal Waters,Sidney,Science partnerships,5/4/2023,3/31/2026,"The overall objective of BECI (to 2030) is to implement an integrated international ocean intelligence system of modelling, monitoring, and forecasting that provides timely (near real-time) advice allowing for improved knowledge and the ability to sustainably manage coastal fisheries. A significant component is to develop a better understanding of the impact of current and future climate conditions for the North Pacific socio-ecological system. 

Two-year funding is requested from BCSRIF to ensure the effective development of the project and commence work on early deliverables related to the necessary downscaled basin-wide models, data governance and engineering for the modelling and visualization, indigenous participation in the design of the project, and ensure that there is effective and efficient coordination of the project. Salmon will be an exemplar species while a modular approach will allow for the work to include / be applied to other species of interest.

BCSRIF funding will be used to advance Canadian interests and develop an innovative approach to ocean forecasting that allows for enhanced down-scaled modelling of the boundary conditions (open ocean) for use in higher resolution coastal models that are in use or being developed. The goal is to inform fisheries production predictions that more fully account for the ongoing and increasing implications of climate change.  

Partners in Canada that have expressed an interest in BECI include the government agencies DFO and ECCC, Canadian fishing industry (CanFisCO and BC Seafood Alliance), First Nations (e.g., FNFC) and academic scientists. 

The BCSRIF investment would leverage comparable (if not more significant investments) from the Unites States and Japan.  
","Environment and Climate Change Canada (ECCC)
DFO 
Hakai institute and Tula Foundation 
NPAFC – International Year of the Salmon 
PICES 
NOAA 
UBC 
BECI 
North Pacific Research Board (NPRB) 
Columbia River Inter-Tribal Fisheries Commission (CRITFC) 
",Pacific Salmon
BCSRIF_2022_361,Identifying and mitigating hot spots of salmon exposure to toxic road runoff,2,"University of British Columbia (Vancouver), Department of Civil Engineering",Post-Secondary Institution,Fraser and Interior,Vancouver,Science partnerships,6/1/2023,3/31/2026,"The UBC team is proposing to document and mitigate the adverse impacts of toxic road runoff on BC salmon in the Lower Mainland, with a focus on the emerging tire-related chemical 6PPD-quinone.  Salmon populations in the Fraser River Basin are threatened by numerous stressors, including the impacts of growing urban populations.  This science partnership group will assess the prevalence of stormwater contaminants, particularly 6PPD-quinone, in salmon-bearing streams in BC and will identify opportunities for green infrastructure interventions to protect salmon populations from toxic road runoff contaminants.  ","Fisheries and Oceans Canada - Science 
Simon Fraser University
City of Vancouver 
City of Surrey
A Rocha and Shared Waters Alliance
Fraser Basin Council- Salmon Safe BC 
Salish Sea Indigenous Guardians Association (SSIGA)",Pacific Salmon
BCSRIF_2022_362,Watershed Futures Initiative: Towards climate resilience of salmon watersheds,2,"Simon Fraser University, Department of Biological Sciences",Post-Secondary Institution,BC Wide and Coastal Waters,British Columbia ,Innovation,5/4/2023,3/31/2026,"The overarching goal of the Watershed Futures project is to inform and catalyze the effective stewardship of cumulative effects to increase resilience of salmon watersheds to climate change.  The project aims to understand climate change thresholds, sensitivities and cumulative effects on salmon ecosystems which will help inform stakeholders, rightsholders, and managers in watershed management to increase climate-resilience of BC's salmon watersheds.  Activities will address critical knowledge gaps, and will deliver scientific projects to inform benchmarks and management targets, identify paths forward and catalyze a connected network to improve the climate resilience of BC's salmon watersheds. ","UBC’s Department of Forest and Conservation Sciences
UBC’s Centre of Indigenous Fisheries5.  
SFU Salmon Watersheds Lab
Pacific Salmon Foundation's Salmon Watershed Program
Thompson-Okanagan Region Resource Management
West Coast Environmental Law
First Nations Wild Salmon Alliance

",Pacific Salmon
BCSRIF_2022_366,"Restoration of salmon habitat at Cultus Lake, BC: a Green Shores® demonstration project",2,SCBC Stewardship Centre for BC,Stewardship Group (local/community-based),Fraser and Interior,Cultus Lake,Innovation,5/4/2023,3/31/2026,"SCBC is proposing to implement a collaborative, highly visible Green Shores project to demonstrate and educate the public on the use of nature-based restoration strategies, improve riparian and aquatic habitat and mitigate erosion at Cultus Lake, to benefit endangered Cultus Lake Sockeye, lake ecosystems and community values. Green Shores is a platform for incentivizing actions that provides practical strategies for foreshore design and shoreline and riparian management that can help restore areas of erosion and flooding while promoting healthy shoreline and freshwater environments.  This project will restore ~150m of shoreline, decrease anthropogenic nutrient loadings to the lake, create awareness, develop capacity with partners and property owners and conduct monitoring and evaluations. ","Cultus Lake Park Board
Cultus Lake Stewardship Society (CLASS) 
Green Shores Technical Advisory Committee (GSTAC) 
University of Victoria 
SCBC Conservation and Stewardship Practices Committee 
Cultus Lake Parks Board and Environmental and Area Planning Committee ",Pacific Salmon
